date,a00,a02,a05,a10,a15,a30,a45,a60,t00,t02,t05,t10,t15,t30,t45,t60,tsum
20080416,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080417,729801,9496,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20080418,731317,6232,1748,0,0,0,0,0,3,4,0,0,0,0,0,0,7
20080419,739297,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20080420,732827,3182,3288,0,0,0,0,0,1,0,11,0,0,0,0,0,12
20080421,729679,3855,5763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080422,739297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20080423,711806,18739,6096,2656,0,0,0,0,1,4,7,8,0,0,0,0,20
20080424,706906,22593,7020,2778,0,0,0,0,1,2,2,3,0,0,0,0,8
20080425,715582,16028,7687,0,0,0,0,0,1,3,5,0,0,0,0,0,9
20080426,730414,8883,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
